r	exp	calc	diff
6.71	0.871511	0.599738	0.271773
6.72	0.960985	0.646484	0.314501
6.73	1.04805	0.690378	0.357672
6.74	1.13203	0.731265	0.400765
6.75	1.21205	0.768886	0.443164
6.76	1.28706	0.80289	0.48417
6.77	1.35591	0.832852	0.523058
6.78	1.41733	0.858295	0.559035
6.79	1.47004	0.87871	0.59133
6.8	1.51274	0.89358	0.61916
6.81	1.54423	0.902407	0.641823
6.82	1.56343	0.904733	0.658697
6.83	1.56941	0.900163	0.669247
6.84	1.56146	0.888379	0.673081
6.85	1.53912	0.869162	0.669958
6.86	1.50218	0.842394	0.659786
6.87	1.45071	0.808069	0.642641
6.88	1.38508	0.766291	0.618789
6.89	1.3059	0.71727	0.58863
6.9	1.21404	0.661316	0.552724
6.91	1.11061	0.598819	0.511791
6.92	0.996871	0.530243	0.466628
6.93	0.874228	0.456097	0.418131
6.94	0.744167	0.376923	0.367244
6.95	0.608209	0.29327	0.314939
6.96	0.467848	0.205677	0.262171
6.97	0.324506	0.114654	0.209852
6.98	0.179487	0.0206637	0.1588233
6.99	0.0339396	-0.0758891	0.1098287
7	-0.111179	-0.174668	0.063489
7.01	-0.255119	-0.27541	0.020291
7.02	-0.397351	-0.377926	-0.019425
7.03	-0.537564	-0.482095	-0.055469
7.04	-0.675654	-0.587861	-0.087793
7.05	-0.811705	-0.695215	-0.11649
7.06	-0.945956	-0.804185	-0.141771
7.07	-1.07877	-0.914815	-0.163955
7.08	-1.21056	-1.02715	-0.18341
7.09	-1.3418	-1.14121	-0.20059
7.1	-1.47291	-1.25698	-0.21593
7.11	-1.60427	-1.37438	-0.22989
7.12	-1.7361	-1.49326	-0.24284
7.13	-1.8685	-1.61337	-0.25513
7.14	-2.00137	-1.7344	-0.26697
7.15	-2.13438	-1.85589	-0.27849
7.16	-2.26701	-1.97731	-0.2897
7.17	-2.39846	-2.09802	-0.30044
7.18	-2.52773	-2.21729	-0.31044
7.19	-2.65364	-2.33431	-0.31933
7.2	-2.77478	-2.4482	-0.32658
7.21	-2.88964	-2.55806	-0.33158
7.22	-2.9966	-2.66293	-0.33367
7.23	-3.09399	-2.76186	-0.33213
7.24	-3.18016	-2.85393	-0.32623
7.25	-3.25351	-2.93825	-0.31526
7.26	-3.31257	-3.01398	-0.29859
7.27	-3.35604	-3.08036	-0.27568
7.28	-3.38283	-3.13674	-0.24609
